id,symbol,timeframe,rank,buy_fast,buy_slow,sell_fast,sell_slow,performance,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,date_from,date_to,timestamp
497,SPY,2m,71,57,72,27,182,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
498,SPY,2m,72,57,72,27,187,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
499,SPY,2m,73,57,72,27,192,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
500,SPY,2m,74,57,72,27,197,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
501,SPY,2m,75,57,72,27,202,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
502,SPY,2m,76,57,72,27,207,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
503,SPY,2m,77,57,72,27,212,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
504,SPY,2m,78,57,72,27,217,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
505,SPY,2m,79,57,72,27,222,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
506,SPY,2m,80,57,72,27,227,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
507,SPY,2m,81,57,72,27,232,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
508,SPY,2m,82,57,72,27,237,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
509,SPY,2m,83,57,72,27,242,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
510,SPY,2m,84,57,72,27,247,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
511,SPY,2m,85,57,72,32,157,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
512,SPY,2m,86,57,72,32,162,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
513,SPY,2m,87,57,72,32,167,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
514,SPY,2m,88,57,72,32,172,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
515,SPY,2m,89,57,72,32,177,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
516,SPY,2m,90,57,72,32,182,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
517,SPY,2m,91,57,72,32,187,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
518,SPY,2m,92,57,72,32,192,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
519,SPY,2m,93,57,72,32,197,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
520,SPY,2m,94,57,72,32,202,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
521,SPY,2m,95,57,72,32,207,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
522,SPY,2m,96,57,72,32,212,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
523,SPY,2m,97,57,72,32,217,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
524,SPY,2m,98,57,72,32,222,-0.0009492194936226994,,,,,,2020-10-01,2020-10-02,2025-04-15T04:05:25.237360
